,story,question,start,end
26,26c3b3023f92b933a808f5ef0b41222e50662711,How long has he been president?,258,270
27,5c5a8bc667c46f3cb85feb0535d7eeac5d5ad747,What impact could the virus allow?,180,303
28,6390895126471a970b9eeb099f1c1a0c2930a2fa,What is Gerges urging the West to do ?,0,0
29,fc3c4641abd0587e9b75f615fc12de9c6350bf45,What does Ortega say?,629,1312
30,9f5a789344f92ea35c2fba5f7bc83ad36ba64973,Photos came from what source?,17,23
31,d9b00bf87eb5c79dc1a70587fbb0dae84a8d1517,On what date did Mays die?,165,170
32,2e2413c9e4619ee4e00ff7d70e8e17bf788d1254,What type of nominations are they talking about?,1713,1069
33,07ef1d74392c67ca32807277f20037a163a0bb46,Who did Myanmar jail?,60,99
34,338cfb94f864418e8b3411cbabff0772b660230d,what caused the deaths?,63,74
35,319a55d58b8df1ffa124c3cc03c81521db05e22b,What was she dropped from?,53,69
36,c674d01c95cc502cce7afb9e923eaca938f426dd,What was the american sentenced to?,82,97
37,019d874e2b508993052b2c29501c188799584c06,Which awards dinner did he make comments at?,757,790
38,7e62422d8f842360b96b008208d1b0b527a2b740,When was boxing brought to Lyari?,1450,1457
39,80770c8e972c93bf7549e74096af9ce2245e6c34,What sport is Michael Phelps associated with?,17,26
40,564222baa38ed2ea3bd38a372936597972785d1e,Who showed Rice the montage?,62,80
41,f4693cf097efddefb3e5720eeab5ac78afaf440f,Who started the debate of economic plans?,9,26
42,8ded9cea3e3001023ee8b145c278e523dc20d357,What weather is anticipated in Washington?,1249,1276
43,b9a4a468b1c8b53ab1b11aece3954687876431e4,whom did he propose to,218,196
44,bbbb7008e9db2882064e6e3639f7f33f7918cd19,How many people died because of the storms in total?,212,242
45,16891819e12c08ca1c7c1e279b401f57d67c5911,What did Thurmond's wife do after she found out he had a mistress?,0,0
46,cedcd6b696012abb2a02795c1edefe8ce1c001fb,what does the pilot say?,466,500
47,3e0dd95b121b940e7366030e08b4a8fb604efc21,What did Obama call Uganda's proposed law?,333,358
48,05a276f0585912a9dc7a327df9cdc6b9d6d16b62,What is Anybots developing?,0,0
49,ce3fcbe4b8f0c54dce1899d2b4c1b948a3204f27,What life change is this article about?,116,125
50,25874b02f2d9cf0307b04886c0ad54d82cd8f91a,what does scientits study?,0,0
51,f6b32354ded350ee30d0b9c718a0ef957f13a47d,What may help clear Buenos Aires?,33,39
52,ab503d942af4e4f3940140304b0b4952a82435d7,what have two people died from,95,137
53,d43fb2b8f2a2c85e4cce3e32c94cf81aeba8c9be,What did the family want to clone?,292,312
54,da8ebeb262da0b345ca3c4a39fc88c3b551402e9,What did the union condem?,207,217
55,028bc1d9578aa056042245dda153fe326754ff92,when are they set,76,86
56,66f06c5f613267d05834db21b15f96d189366db7,what will retire by 2010?,90,104
57,defdaaf2d5159884dc35c4b72603c0e57572f284,Who were found dead in Chicago?,499,557
58,b743c66d9b2c3d94bce7d357b774ef3ce75a0d04,An economic boom in the Sun Belt was a key factor in what?,0,0
59,faf22539a75201d90b148ed731c950be5bbb1d5e,Who is failling school?,0,0
60,c5a067ef5a282fec46d0d5cbee9cf06954e1b7a0,where was this event,0,0
61,a34dd2f5d6b6ff5dd493bfba5a9d745d654d6cc3,What product did Apple announce on Tuesday?,175,245
62,6dd732c45d5de0747a1b6c8e20649afffb324636,Who has had no contact with the Red Cross?,53,66
63,f28b31df14bbdc694941b00839c29fbd58f668f3,When are the assaults alleged to have occurred?,0,0
64,f8e796ffad73288b1a6f53a59f408b70df0ea8aa,Who fired the rocket propelled grenades?,28,121
65,81332cfe717982d0ed20dfc36b6005d463e13c30,The drama queen and lady-hater will never...?,0,0
66,32eaf09e4fbe23ca792f933cf76629a07ebf5d32,What age is xu yuyuan?,235,239
67,d8871f70487edea13f26ac0ca16e29f9ca6f7cd6,What did Brown say about Bush?,243,350
68,efc11319354d61b007aa58ebe1422f10f8d6f513,who took Danny Barter?,2169,2177
69,355391d11166f5b957e834df25fb20d131cea97c,What city is also n high alert for flooding?,1889,1442
70,d05e99a62f7629764fc0122bb798b4d91f6c7077,What kinds of positions do the FBI have open?,621,574
71,55990ca73ae5b457d4bd6110a5ad74d5cf661787,how many years of service have Delta Queen?,0,0
72,ea7dc0b7815c9ce53ba1da6f393aec081d533802,Prince Charles' car  runs on biofuel made from what?,121,135
73,5f7424604ec11358dc6fdfa47732f90422949041,What did Gorbachev say?,150,212
74,59da58dd64db6def67b55cc98056f4914e205e77,What is the singers best known hit?,578,609
75,b5fb67063661391b10e06d93e96c0b9690f90caf,What does the Conservatives refuse?,0,0
76,521fc074071ca674c4e210ac76a785315a0e860e,"In recent weeks, whose support among blacks has been beset by troubles?",78,91
77,d590f2cc413ea3745c11e08ae0ae1afed58bc094,What is the series about?,543,1988
78,94c30847cd2f4284b1e1092fa2be03c38c674f8b,Who was guilty of illegally downloading 24 songs?,286,319
79,47a98e094ad69d334e07d7f928d1b6403aaf227b,How long does the U.N say the cooling tower take to rebuild?,1232,1242
80,7fa06213f8db31540925607d245f4bde289d2d47,Did the competitors turn against each other?,253,258
81,c9181b9920f4dcfcee5ec4256a3b058fe61b4aa9,What prosecutors decide?,853,879
82,652f1fc7d767170a3900cd1219caca79c8b7b789,who says charges against him are false and politically motivated?,185,200
83,a9a8ee9839b0dd6f8d716971b1bffa43f8b92216,what has the culture minister denied,225,202
84,b311d3d123093547a9aefcd48485e07d2d494bec,what did the marine say,543,598
85,3a3d96cea214fda0293a5863977e6640c6d9b501,What was Fisherman doing when the dragons attacked?,95,146
86,2565d0225760a2198a3b674966852d809afcf181,How long did the data recorders keep broadcasting?,494,503
87,1d4c5d4adc2831fb779ecdef3c88aaea62afd1b7,For what reason was Vernon Smith put to death?,495,328
88,3b13ed020e933739ef2a2988475fc86cf16684e3,What concerns are there in China?,1639,1682
89,0b14fa50b76b488e131c7f572f1b41be351143fb,"Which actor hit the top spot with ""Enter the Dragon""?",657,670
90,0b298eb6aa9e30c8df62d45ce1e5b7f4ff0fcef1,What does Al-Maktoum believe is the cause of the economic downturn?,0,0
91,c693612fab3e7ea638515ce1c7e5adcc981228cd,How many americans volunteered ?,901,919
92,477b8f0bf113c7bf1976faeceed13e7e5a76b5e6,What could have led the penguins astray?,1199,333
93,48c35edae9b199e970a36cc6bde838ac14173050,What happened in Sri Lanka?,9,57
94,399b80d2874a52556c9c3ebb9e7408e8bc777be4,"How long did it take for Yue Minjun to paint ""Execution""?",274,293
95,6035df00b1d1071a848c3144dc0078bb967b3b48,What is their plan to alleviate their situation?,0,0
96,8e3e8e5ca99568833f42b7583f28b81741dbfbd9,what flew as long as 300 feet?,23,42
97,705444371cb550e778bd45a380304005fdd62173,What does his work help?,421,608
98,855dac54707e7f430eb39603f0b53d40209f19fb,What population has more than doubled?,2475,2500
99,a4702e399231b8fcb6ad4f822100394e088bf621,when Illinois town came up with idea for Lois Lane statue?,1845,166
100,6d132e19242bcc5d25032d6a726486970190d059,What is Eurostar trying to do?,37,186
101,65a7dcda30d744ede721c5869b1fc7e9efc562b3,The Israeli leader will stay in office until what?,0,0
102,eeb5b18d00b148899ac6f9617fa1104ab96b7c24,When is she going to do this?,133,333
103,12cfa3a55e04c285d29962638da841173aea9dfb,What did Rudd refuse to comment on?,921,945
104,37ee0129f435739ee7103f4ca42429b5cc95db45,What year was the robbery?,1017,2135
105,1915dd69481b5f6033f91054ffdad42be380c215,What did the video show?,1420,1441
106,a93225ce80ed55f9ccb1cc4e882531cc0395faf6,What did the photos show?,1286,1371
107,bfd027334b96f1da371f0e3cc15474395a4a01b0,What did the PM say?,69,92
108,660e2d42860520a337b59ae30404db53a34b8252,What does Kyrgiakos do?,84,93
109,e7afee48c4b9de7df9b5a170d9caf0b663fdcdae,Where is the concert?,257,273
110,84ced5c56d8b021c11ed63055e0f8f26b1d15994,Where did the B-52 crash?,156,161
111,960dd16cd295a5d015b8b056671c5dc466760a5f,where is the operation focused,333,257
112,cfd67e5d82e46362118fc08277a3bc15163f4729,What is military service?,72,143
113,01d5b7cf16d87db5a2bed267d83aac584f58f325,Who rejects calls for Reid to step down?,958,1725
114,4df1fb2b81e22650a33a43a72428dfd7447b06ef,Who has been patrolling the area?,1098,1175
115,3afcbbdc9ab667c3ac0aee22a1a7686290af4a0a,in what way was the ad altered?,456,517
116,783667c237c4ef0b72ebb72ef72a8c2641c8a0a5,"What was ""like Christmas'?",70,553
117,694f19154ccc5440b878e398557acac282820ac2,Which movie inspires guides to places of interest to fans of the detective ?,25,45
118,a0361739a1aa6a575fd33ff184f77caf42acdeeb,Who did they want restored to office?,1722,1757
119,21f55b3a768c627cfdef6a25161fdf344c4f0c17,who will announce?,21,54
120,e2c31bda0afc1aa1b71af508694c7efeb074dc8a,Who died this week?,346,356
121,25c60f2d74eeab2737d19aa870c7802b58c660e3,How many fans does comic con draw,390,403
122,93a2c00e0bff456b48e713244da3ea98dd8c6a3f,Who is holding interviews?,23,39
123,23e3ba210a9bf374f436360d585308445d4838b7,What was DeLuise's best films?,75,273
124,c0b70a66f60008eac1cce02e38b071f6e75b5488,who scores the only goal to give Fulham a 1-0 victory at home to Sunderland?,1236,1256
125,e483ad70b03bb9184f105b5b1ce4a63b2b462320,Who has no plans to sue Cambridge police?,21,37
126,6d4ba82f569397a3c13596d191bad9a473ba6986,Who has a big MySpace presence?,496,510
127,5015b2ba8ea9567da4dd1a83e634dc3bf0abfcd2,Where were the infections centered?,514,524
128,c3b9b1e0151b0b1101634ea4c92b0045fe6d3c6d,What are the Daily Discussions?,254,298
129,d1d320576087e798580c367127aaf728ba632fe4,How many people died in the explosion in Bogota?,160,164
130,7dba26fe1b7959ca64d62d309b9d71b8f1a0b0c4,What did the defendants plead?,1191,1255
131,24fd17e0b2e341588b3009a9fa0e15c4120efa44,Gatti's body was found Saturday in hotel room with whay kind of marks ?,862,890
132,42509c7b1b3ebc2d82e1defb13f652ff587155f7,what was the winning bid?,289,299
133,b40f348309302c22847f2bb15add2ec8e2b177a3,What country regulators seized Stanford banks,9,31
134,6dfd27a15c730f9618a6789105316cc4e1f3b6da,Who was named secretary of energy?,131,142
135,4859adfa074b276dfc6d8c0bea66bc64c31e50ee,Who used the palace?,20,17
136,9b237716a3775010bb0a7d8a89b60ad80818984d,What was fired from a California base?,291,370
137,a289b21d3afb5a67306e6dcc091f7b35705fc672,"At what age was ""Lupito,"" when he was killled?",781,785
138,e43acb75ac46367e08495d5dff14d5c17964d6f2,Which Beatle was given the first star?,499,511
139,8fab5ce2d7724f81772668c2bc058fc0920b7321,What score did AC Milan win with?,625,629
140,bf7b4cc1e2da99996f40270d32a8664338c4a150,Who surrendered without incident?,89,115
141,64309c647d9ed5f238360c175d4b90f409d32864,What organization regulates stem cell research in clinical trials?,134,148
142,ad22986cdaac5d60c501f35dda91731faef877f0,Where was bicycle taken from?,122,149
143,5664550cbc54b04021d136e9b7b21dc167151c45,At what event did she fail to show up?,608,636
144,e00d2e9e8bdecf92c1baefbdd2d0c524dec5a66d,What did the investigators find?,1222,1308
145,08d1680f9b8c1a5da71d7628c3ac1c1f0d52395c,What did a spokesman say about Egypt?,290,360
146,5a64efa76ba005515fbfc082410f5c62c397b6e1,What has a surprise ending?,2064,2089
147,28f0d2737b05ffe192f13cfc3c43f1407f7386e7,Lenny Lisovicz descibed what,283,307
148,cae6ae56690280dbd787bf694e000b3095751bea,Who is seeking asylum in the US?,47,61
149,da0897b007de9a94816a301a891d5044cf80edc9,How many people would choose telecommuting over a pay raise?,906,914
150,f35b1063bfbbe4208afcf657c1131bdcbde0016a,Where were the tourists from?,64,72
151,b27c6bccb305b4f410f1531bc9f5cd174651c7ba,Where does Ida Fischer live?,123,132
152,644a3f79470d3b457efacc7d4ea33577d59e69c1,Where was Michael Strank born?,326,341
153,f13bca9c84ea2b7c9bd91cd760f6d6751732ade6,Which governor will seek the seat?,1085,1099
154,d07a61368a195444b14bd4b382e0fc3d64890b22,What did founder of dissident group say?,66,213
155,b5c202d1e3f95cab08e693d8cd635233c5fdf37f,What was seized Sunday?,459,479
156,4f91c584cc9bfa6506ec98467bc59158a0d97b20,How old is Becky Oliphant now?,81,92
157,fa5089d759a9fb810d28c140cf60e3a5fffff8ba,What can you climb for great views of the city?,0,0
158,3ee45b9a6ba34f57ad4eb20a4d87ee0a2e47dfe4,What kind of diet did William the Conqueror go on?,659,671
159,2daee20dcac238802e53440d0e95cddfd0e97b81,Who is Uwe Boll?,0,0
160,aec90720358f66b9d149db8afd08fbb821e3aa52,What captured Green convulsing on floor?,930,980
161,a55003fe8bc3ad2ebf33cfe49b35feefa7c0174c,What was inserted into small opening in sarcophagus?,843,851
162,ddcc91f199e2935f9e41a1a286c772aac6a55ac0,McCourt was known for his novels about growing up where?,0,0
163,4e2db22c67957a9eec3868fa6557120e27b1e4ea,What did Obama promise his daughters?,1129,1155
164,0f58dad91fb284937c5338b113594199f55ed908,Who has yest to be identified?,51,210
165,660bd58ec05e7c4656182e356d663ed04721b479,Whom is he fighting for?,0,0
166,3afce08c5e1bafbf978831c0b751281a30c9fbc1,"What  tells perspective of Elizabeth Woodville, Queen consort to Edward IV?",239,257
167,9a059695db585d62896ba28134ae047b5e2fc0b6,What is the age of the Juventus striker?,201,213
168,466d121051fe3df31cfadc7c6e29b5d5638daa9e,When could the iPhone possibly still appear before?,368,384
169,b96d0c2e060cc7a679329a70ba1b725bb769e4fa,What does Howard say to do before making decisions?,776,842
170,e9735067991bddd59476a3b6ac339c35032f200b,What was the number of people on board?,13,17
171,9c48499e53c1bb7a5c898aa614239beceda39f9f,what has suleman done since january,53,89
172,29637a923358a1f998cac6ca1cbaa7566c37f06e,How long is the mission?,902,920
173,26f9464431c86f61f24ca79cd9ebe7ca51c719ed,What town was hit by the tornado?,388,400
174,887def04d491d6bf532e1a01684d23f436ce308f,Where does this organization operate?,903,957
175,752e202a0ecdebe8e66537e1a4d358703aa6290b,howmany are in shelters,2165,2197
176,d95ef25a7c606976ce8eeb7007dd4915b8d0810e,"Who signed new four-year, $34 million deal in June 2008 ?",9,24
177,a7f578ca546ea016f5695fe3dd09f1b16e083575,What did the Army veteran do?,0,0
178,0c4d05292024d4bb6efc48e2a40951c4336c8cad,What are the seizures linked to by the family?,1379,1491
179,f83de8eff319f5e65338fb5815908fbd34217ece,Washing with what removed the radioactivity?,288,304
180,fa8ef4345125004038109c06b1a3bf30ac006718,Who is calling for limits on tourism?,28,44
181,87d867a0b99fca009a0e59a5c173d11961d39895,What number of girls were given a safe haven in Islamabad?,717,723
182,08b46544bf8c6aebdccbfbb007393ed74e2d32af,How many percent of Russians are in favor of rehabilitation of Stalin's image?,24,28
183,9b70778d74a19bdb2f2a6feceb7024b0790482c7,what Suicide bombing killed seven CIA employees and contractors?,72,84
184,24bd92749dc850c4ee2547cda15830bfbcf45ac3,how many agencies are operating?,0,0
185,47981eddd53c97ae0780edb03f084e73c116615a,What leads them to take food?,0,0
186,18081d66d460bd68e06e108db167289eb9f8471a,What happened to the bus?,45,57
187,b26453c151704dd1c8da3b5f1eb386712487eca5,What is Sotomayor's age?,2147,2166
188,99f33dc4ff55db199efd72a9a37616e5fffdbde7,How many people will die if they don't get treatment?,20,41
189,7e8c8f06f77eeff8e368a68d9a5d08c31c0adc7a,Who is forbidden to date?,803,816
190,3bb1cda1e01cb6e14f6190ced3b1ec3f7ef50de9,Who is in control now?,167,174
191,ce1e3ff6000d75fed66a2e07681cd8ac01c37f5f,What did London customs officials found in the baggage?,134,156
192,14e74935beef1ce9218a8d7ad5b0543fc07eca05,Who says soldiers' stories tell war's truth?,0,0
193,ad17853cd7821d07d896bc626e1a72dedaf44e21,this who says it,245,265
194,c4d5c701d02a75d49af8f34d51617bee2c8974d8,Who has downloaded Jackson's music on iTunes?,747,819
195,b0c597cd7dd9356d497a534775923b562c3433ad,Who called for a cover of NK's missile proliferation network?,207,207
196,26b39b59c665beba5e274570d2cbb4510548343b,When will Terminations will go into effect?,445,470
197,b6a254e63b9ee13023c0e2aaf3e6c311e8ab19a9,Who accused interrogators?,53,357
198,83f6b50fb780342f3127ab15904aefd89667767b,what was the name of the hurricane,70,88
199,a041374e53d00b79e827564c0425d01a3acc9657,Who were killed near the Iraq-Syria border?,568,623
200,1cedd9c817c5b7858b4d92a341800fcc6ac76a6a,What do the government inspectors plan to release?,386,406
201,d271bf998bac72de1e32a1ccd1c6221615558eb0,Where did Jason Priestly propose?,0,0
202,f215f09ba6864613982ad1983321522a037cc111,"Despite crashing out on opening lap, who still led the race?",513,546
203,60d6cc423cf345dd2282a122675652e47bdae48e,When was a Beatles concert banned in Israel?,165,39
204,f7398a856a4b06b81c27ff623c0765c9b0f0a189,What is the name of the Barcelona company that claims its software can tell if a song will be a pop hit?,737,408
205,6f8bfea808633e7aa3be5d54bed1363dbf3d07be,What did the family want?,859,895
206,26a80e1c2485523a75afa8ab81b2c28226564de7,Where did the fight take place?,200,238
207,7b78c92930c8d9b7414afb79366509cbd6ebb327,Where did the people in Palisades Park come from?,952,975
208,62c705cf289d7a2358def64f6cea3221937b96ca,Who did the college student say he missed more than his parents?,483,1454
209,c09342103be91dd0c3d05296b5895e8e30bed088,When did the man run guns?,685,695
210,5b47a42c03992f0ddcc2806fbbcafb58fc5266bd,What does Burnet weigh?,0,0
211,0bd9b7d1634538bb6e5157e0b3bdbfed7941fa36,How far was Zinkhan's body from his jeep?,559,569
212,ed3c809ec9c6d78b510fa341396f29dd2adb72bd,Who came out of retirement?,10,27
213,e19aa8bcd13b10380ae048655d101be0d1705424,What books did Updike write?,643,739
214,717f56ba8f8d6ef9525ca7ef82bb504fb1538e84,what did tottenham hotspur do,18,44
215,90da7154ddb51f04b7c718e2c596f8c12a241c2d,how many rail manufacturers agree to establish or expand U.S. operations if hired?,767,792
216,9bb863e0e73bb232f877f15fddd385e90faae80f,What was caught on the 911 tape?,181,215
217,16ef6fd77f7352e4ed9ef09f744d262299c4ea34,How much as the family gotten in donations?,2253,2279
218,8a85405211ed055ec895e685455d57124cc4b070,What is required to make test results public?,449,479
219,ddce18e7c8e2f352d7c3acd860c1e0f4469ba6b4,Did users trust the judgement of Steve Jobs?,0,0
220,a80d2959846819d5ac9dca4bae9c6838d3b88be4,What does Samimi share with I-Report?,187,229
221,99ebae832611b60ef5b954d5ca8d7c20a4adbe31,What is the term?,236,541
222,8a879f292f67a81b2a3a67828e8262d84ca8739e,What language is Nelly Furtado's  new album sung in?,449,540
223,1e21876d53842ab1be226f320123610a44ac5d43,who are looking for the couple,1722,1744
224,e4b37d48ecf8962be0c1d7374e8abeac8a5d341e,What does it mark the end of?,1986,2005
225,14804f15246ff3c352af785a8c800375e44d829b,which ship will conduct the searches,633,1671
226,f03a665a1b65d2129019bea8319e73f195638229,What country will rise as a foreign policy heavyweight?,33,55
227,55c919c437a87d0c4e11869f08d62acd660b2901,What strength was the earthquake?,57,71
228,eb2e5017b44cf72b6db498ed074146897f8daa2d,When was the ivory trade banned worldwide?,265,276
229,772b33649ca21fe2cb1f47367ce7d437eb270a61,How many have been killed in riots?,1864,1876
230,deed60365bfbd7f23274346982306eb86fde457e,What did the Analyst say?,576,651
231,927e55be3b91bdcdfee259abdd4997ea9264c33b,What is his favorite adventure book?,165,187
232,07f9cfad434664c9de16f46e1a63fc7fb55a0355,"Who did he tell ""We're on the better side of history,""?",9,26
233,51283b33404f29be4db8803e104fac451ba179ae,What is this project about?,148,198
234,94229cc77de9502370d916da8981af818dab15c7,What did Kepler learn?,0,0
235,3c0dd1ef211dd6d6a0c2771da54c664bb0f69d38,Who won four titles?,9,22
236,0f6fe00c5de423b4ebe97cb0be7ff7b36e2f2a2b,what was the purpose of the study?,0,0
237,fd32589b6eec37be799b1e103b1cd01d7969ce0f,What was the score in the All Blacks game?,0,0
238,e623ce7dcac110906ec64c873fd09c08e7f0e8a4,When did she go to Europe?,175,181
239,aca6fa1bb91a049fc3cb9d0f166f4c676c270ad5,what saw the apparent crash?,63,93
240,bb2fc7c134c7be5bc20aa60625a996c19121740a,Who did Virginia ruling give jurisdiction over case?,408,417
241,00579a91246db0df52a7106cc6650c56c9fbc604,What had been removed,1300,1316
242,ab47c818c8642a3e11d0805aee3925e4596e2eb5,What did the Memorial Day blast damage?,0,0
243,ce924f7f9e6e02c7f3052c9198f45ece66a3ef0f,who have combined for a tour?,213,273
244,7216b39d36fc8f54b4cf2308eb02dad766d34b35,What is Japan not party to?,0,0
245,f8e81666343a546623d2ad7c5005ec5a3b6d073b,What does the movie suffer from?,0,0
246,9e0b28c890e5819cab9f5ccc354d524aa86f60ba,What is the number of points Steyn had?,325,335
247,679d609de70b51b5b7f76bcffa2c89c6559f5f0a,How many people are in the Largest rebel group?,1122,100
248,29d049037a5c16a23a2e31d0b82bee323ce78e86,Was Al Megrahi guity?,64,238
249,ba0e843df62123a52ee420abf736201adedd46a7,What are the scheduling breakdows?,0,0
250,f24225ef0e0b719208c4055c7d7e0f16a362d3d7,What can become a security issue/,617,670
251,de056d81d57eff6a93135e76a53ae45fc2070c84,what is the name of the 15th birthday celebrations?,0,0
252,1e4df738b05a98e91d6d41eef3ab575e46431223,Who is very concered over the proliferation acroos libyan borders?,1364,1430
253,90aa53349401856571e1e749155772af132a8ff6,What has Iran seen?,28,116
254,ddf3f8346614833577c7b3a44d2dd801bdb059a3,What did she have to withfraw from because of the problem?,78,105
255,5039afe0ffa8f84ae452d81f1469b8cf9363f683,Who claimed responsibility for killing the Hindu leader?,28,41
256,7855bc3dec302edd788b2350dc38354bf2ffb564,Which country is the company from that produces especially potent honey?,1592,1841
257,8a19d95198207046dca6f93bb56932891f96096f,What was mentioned as a cause for rejoicing and rededication?,325,752
258,06c7ebdcc58e41b68278c77d140916f986dce37c,What does J.D. Slainger say?,0,0
259,3493c8b804ce279314cd495ba50dbab25a2bf788,"Who referred to comments as ""timidity of despair""?",31,44
260,f0e361a4d732decbe805fe6a28c10549b3ca0113,what was the value of cocaine carried in the boat?,134,166
261,4c76b655f645eb856a691e48befd44277c16b4f5,What did Go use to write a song?,100,112
262,ad36318b295c1c1c44653b26cf0c0e74c65b229e,When the Kids in the Hall were successful and popular?,680,739
263,7b8ef193a81719e0401da77d4681f498c6eab495,Did she get compassionate release?,0,0
264,fd0731e9fd7ad71ee59b95d6b2e9020e2e231a42,Are nuclear weapons being produced in Iran?,2358,2419
265,970c48ef5574cbe13c26f42595d5cf64a79e99ba,who is lawrence,1285,1303
266,2a73430dd3232ad3da7570a5ac133d7f29a6b6c6,Who was being voted for?,595,349
267,0870f22e8cb80979e991b0a8522dc9a4c54d4059,Who was shot dead on January 22?,192,204
268,1cc4a01de67f1b95345816e6ae3002fd650304a5,When was the baby born?,331,343
269,2085bcdd7b72e560784ac7e0e7461fde3f71b349,What will the judge rule on?,0,0
270,f70681433b976c2cbed9dcaaaeb5e87274372642,What is the oil industry in Niger Delta creating?,481,513
271,4fbaf01100e4d6ee1823f1b25ba309fe73ffb6d9,what song don't you know the lyrics to,1025,1069
272,5afb10035dbf99fcada8a372adc4093219e16b52,What is one potential deterrent of movie theft?,583,636
273,67405c267c5bb2a8cf4d373e18ea7830f39f021a,What does Ron Paul say the stimulus has not done,499,543
274,e56fc5752db65ac1ae7f4175999841999c28b4eb,where Threats exchanged over the Internet?,107,159
275,e219bc3af7b0dde4645ba4af5413f77f0714276b,What is growing between Obama and many of his presumed natural allies?,291,304
276,de93167232c62dc1335fbf50cf6c8158faab99fd,Where are the painful layoffs?,0,0
277,a693f402cf9db47461adfffedcd8c63e84552a37,what kind of drugs did they find,112,120
278,b938eb3d00e7eb31e878e1c9a12e4db4bb2b7329,How many troops could be withdrawn?,268,288
279,2f0b0c7039b15959e41e260b77ebf54f8cce5f2b,Who have they been broadcasting to for eight years?,202,238
280,ab881d1285c875c91ba7a3dabf3d51c7b86f3d06,How many cases have been reported?,180,256
281,67d3beb0dd9ca7e0553bff4f37171e8c9d394285,When will Obama take office?,0,0
282,2958c6d46cf4c929d28a1fa41e13fce7f8c00fc2,What was Pinki Sonkar born with?,762,773
283,ef3db4629c594e91900187c2ee7e570dead8ddc9,How many seasons have they had?,1763,1777
284,382b20bf58f3070337aa1352f25c20e289974f36,How long will Singapore offices try to ease worries of policyholders?,315,147
285,ae7092205b7dd45ff9cd46ed1e5615b94b10581a,How many times did the defending champion win?,52,61
286,adfcb1339c6e555f180ee3ff8fd421284b735133,Who is keen to make a comeback?,9,23
287,a603e0f2579db93695b602ddac90ebef32219155,Who is the Director?,25,37
288,890f167b2f32160294a06d70f1d4631f9474dfbf,Is video technology going to be used at the finals ?,0,0
289,1b32e8a86a739b24c805c7628edac38b796cd688,Who vows he'll survive oil spill effects?,1171,1175
290,bd92eab23374d95ac4430e2e1a8bf7561c662309,What is Frankie Dettori's favorite recipe?,571,624
291,0fca9cb001fd2f60ff7bacb76b3db287366b1cd1,who uses an emergency phone for five a month,535,398
292,c7a46fb612a658e2e0a0eb1e7cce16d31758127a,where is the student from?,0,55
293,96617c3972f17395cdc748dfb264ff1994ef19cf,What did Condoleeza Rice say about the policies?,491,534
294,11529057c7d3294c581d4a9f41517ad815b13f4b,what position did bagosora hold?,478,507
295,85246595f881711f549945cad2a1f35e9b47f075,What place is Everton ranked?,2141,2154
296,6942fa9f78051bfe1c6df7618668884a8d8d42bf,is it preventable,0,0
297,44f55c84c4a580853e384c860bb2ba3a7f1ea095,What do some Republicans call Sonia Sotomayor?,476,500
